,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
92,1644866415.0536277,15.529314279556274,101.92,23.59,22.25,22.75,29.75,83.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.05
93,1644866415.2193868,15.761191606521606,101.01,23.62,22.5,22.75,28.75,83.25,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,0.08
94,1644866415.388305,15.880720376968384,101.68,23.62,22.25,23.0,28.75,83.75,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,-0.05
95,1644866415.5548105,16.096613883972168,101.62,23.64,22.5,22.75,28.5,84.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.08
96,1644866415.7356637,16.208500862121582,101.85,23.63,22.5,22.5,28.75,83.75,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,0.11
97,1644866415.8888788,16.42460560798645,101.46,23.63,22.75,23.0,29.0,84.25,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,0.05
98,1644866416.0735023,16.546567916870117,101.9,23.58,22.25,23.25,28.5,84.5,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,0.11
99,1644866416.2359464,16.777750253677368,100.94,23.58,22.25,22.5,29.75,84.25,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,0.0
100,1644866416.4048727,16.897794008255005,102.19,23.64,22.5,22.5,28.75,84.0,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,-0.03
101,1644866416.5706887,17.112492322921753,101.62,23.64,22.5,22.5,29.0,84.0,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,0.05
102,1644866416.736539,17.22538161277771,102.46,23.6,22.5,23.5,29.0,84.0,-44.3847656,6.3476562,5.6640625,5.859375,90.0,100.0,0.05
103,1644866416.905836,17.463265419006348,101.88,23.63,22.25,22.75,29.0,84.25,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,0.0
104,1644866417.0906312,17.56972360610962,101.92,23.68,22.5,23.0,29.5,84.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
105,1644866417.239999,17.795117139816284,101.46,23.56,22.25,22.75,30.0,83.75,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,0.03
106,1644866417.4061973,17.89811110496521,101.32,23.66,22.25,22.75,29.0,84.25,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,0.11
